video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1000k_h264nvenc,sample,26.0,58.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10428999995231614
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1000k_h264nvenc,sample,74.0,63.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10669000004768492
amt_gaming_vqa_dataset/Returnal_1_1080p_2300k_h264nvenc,sample,52.0,69.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.31488999997615785
amt_gaming_vqa_dataset/Returnal_1_1080p_2300k_h264nvenc,sample,70.0,62.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09838999997615794
amt_gaming_vqa_dataset/Returnal_1_2160p_5000k_h264nvenc,sample,82.0,59.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09499000000000102
amt_gaming_vqa_dataset/Returnal_1_2160p_5000k_h264nvenc,sample,75.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.40599000000000096
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_2160p_10000k_av1,sample,5.0,59.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.12249000000000088
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_2160p_10000k_av1,sample,50.0,65.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.19928999995231678
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_1080p_10000k_h264nvenc,sample,83.0,59.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.09999000000000002
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_1080p_10000k_h264nvenc,sample,93.0,66.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12758999990463238
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_1080p_2000k_hevcnvenc,sample,68.0,61.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10538999997615939
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_1080p_2000k_hevcnvenc,sample,61.0,74.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08869000004768424
