video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,39.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.1277999999998123
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,6.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05019000000018714
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,11.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08299000000000056
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,32.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07389000000037349
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,80.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",5.2923899999994415
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,34.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.15519000000018757
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,41.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13898999999999972
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,87.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06119000000018637
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,70.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04988999999944177
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,43.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06668999999925518
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,70.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06528999999981444
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,53.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.244509999999999
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2300k_h264nvenc,sample,98.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06999000000000066
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5300k_h264nvenc,sample,4.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07428999999981478
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_h264nvenc,sample,10.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.012790000000745
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_8500k_h264nvenc,sample,95.0,44.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12539000000037248
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_h264nvenc,sample,40.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050889999999441216
