video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51,sample,67.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.04430000000004597
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1300k_av1,sample,73.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009300000000045827
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_3000k_av1,sample,86.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.014600000000093871
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_500k_av1,sample,60.0,69.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03159999999997609
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1000k_h264_nvenc,sample,94.0,72.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.018499999999999517
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_2500k_h264_nvenc,sample,61.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0026999999999528512
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_5000k_h264_nvenc,sample,21.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.00890000000013913
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1500k_hevc_nvenc,sample,70.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.020799999999930208
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_3500k_hevc_nvenc,sample,78.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.008100000000093033
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_600k_hevc_nvenc,sample,29.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0389999999999997
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49,sample,20.0,78.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.023800000000045785
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_1000k_av1,sample,3.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.028699999999952652
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_1000k_h264_nvenc,sample,60.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.018300000000046168
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_800k_hevc_nvenc,sample,54.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0009999999999994458
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43,sample,34.0,8.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",40.17679999999993
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_1500k_av1,sample,71.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.057400000000139784
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5000k_av1,sample,12.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.058099999999976504
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_500k_av1,sample,93.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05909999999997595
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_10000k_h264_nvenc,sample,95.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006999999999999673
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_2300k_h264_nvenc,sample,83.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.004700000000068982
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5300k_h264_nvenc,sample,46.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.034800000000046794
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_2000k_hevc_nvenc,sample,73.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0032999999999301366
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_6000k_hevc_nvenc,sample,86.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.034000000000000696
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_800k_hevc_nvenc,sample,2.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0018000000000473193
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_1000k_av1,sample,46.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.007999999999999119
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_1000k_h264_nvenc,sample,37.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0037000000000109168
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_800k_hevc_nvenc,sample,86.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015400000000022729
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03,sample,26.0,9.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.031742999999998744
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_av1,sample,88.0,8.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.011656999999907214
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_h264_nvenc,sample,46.0,31.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.00094300000006875
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_800k_hevc_nvenc,sample,38.0,3.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.028242999999999796
