video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_1000k_h264nvenc,sample,87.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06909000000149135
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_1000k_h264nvenc,sample,51.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06699000000000055
amt_gaming_vqa_dataset/Astroysplayroom_1_1080p_2300k_h264nvenc,sample,12.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08188999999851099
amt_gaming_vqa_dataset/Astroysplayroom_1_1080p_2300k_h264nvenc,sample,44.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08039000000596097
amt_gaming_vqa_dataset/Astroysplayroom_1_1080p_5300k_h264nvenc,sample,56.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0700900000014908
amt_gaming_vqa_dataset/Astroysplayroom_1_1080p_5300k_h264nvenc,sample,5.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Fallout4_2_2160p_1000k_av1,sample,18.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12279000000447127
amt_gaming_vqa_dataset/Fallout4_2_2160p_1000k_av1,sample,73.0,34.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.12208999999404035
amt_gaming_vqa_dataset/Fallout4_2_480p_1000k_h264nvenc,sample,68.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06878999999702096
amt_gaming_vqa_dataset/Fallout4_2_480p_1000k_h264nvenc,sample,92.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07999000000000045
amt_gaming_vqa_dataset/Fallout4_2_2160p_6000k_hevcnvenc,sample,11.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07459000000149096
amt_gaming_vqa_dataset/Fallout4_2_2160p_6000k_hevcnvenc,sample,46.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.05439000000596117
