video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Farcry6_1_1080p_1500k_av1,sample,45.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04968999999925572
amt_gaming_vqa_dataset/Farcry6_1_1080p_1500k_av1,sample,49.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07768999999925619
amt_gaming_vqa_dataset/Farcry6_1_1080p_800k_hevcnvenc,sample,48.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Farcry6_1_1080p_800k_hevcnvenc,sample,50.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09078999999888282
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_5000k_av1,sample,30.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04968999999925572
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_5000k_av1,sample,75.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08749000000000073
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_10000k_hevcnvenc,sample,50.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0721899999992548
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_10000k_hevcnvenc,sample,26.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.098890000000374
amt_gaming_vqa_dataset/DemonsSouls_2160p_1000k_av1,sample,18.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04959000000149061
amt_gaming_vqa_dataset/DemonsSouls_2160p_1000k_av1,sample,14.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2259900000000012
amt_gaming_vqa_dataset/DemonsSouls_720p_1000k_h264nvenc,sample,12.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/DemonsSouls_720p_1000k_h264nvenc,sample,57.0,6.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06418999999925568
