video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Returnal_2_480p_1000k_av1,sample,61.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.18949000000000105
amt_gaming_vqa_dataset/Returnal_2_480p_1000k_av1,sample,25.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08709000002384215
amt_gaming_vqa_dataset/Returnal_2_720p_2500k_h264nvenc,sample,64.0,29.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09949000000000119
amt_gaming_vqa_dataset/Returnal_2_720p_2500k_h264nvenc,sample,28.0,13.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.5366900000476846
amt_gaming_vqa_dataset/Doom_2160p_5000k_av1,sample,2.0,6.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",9.160290000071525
amt_gaming_vqa_dataset/Doom_2160p_5000k_av1,sample,17.0,9.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",8.53338999997616
amt_gaming_vqa_dataset/Doom_1080p_2000k_hevcnvenc,sample,44.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.17059000002384295
amt_gaming_vqa_dataset/Doom_1080p_2000k_hevcnvenc,sample,87.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1043900000953677
amt_gaming_vqa_dataset/Astroysplayroom_2_720p_2500k_h264nvenc,sample,90.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.3761900000476839
amt_gaming_vqa_dataset/Astroysplayroom_2_720p_2500k_h264nvenc,sample,21.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.17738999997615856
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_10000k_hevcnvenc,sample,51.0,61.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.4224899999999998
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_10000k_hevcnvenc,sample,35.0,14.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.000389999976159
