video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_1500k_av1,sample,9.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0713000000007451
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_1500k_av1,sample,97.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06809999999776473
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_1000k_h264_nvenc,sample,64.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.03169999999925466
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_1000k_h264_nvenc,sample,65.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.01249999999999929
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01_480p_1000k_h264_nvenc,sample,79.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006899999998509543
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01_480p_1000k_h264_nvenc,sample,31.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.018800000000744888
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,sample,46.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.02200000000000024
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,sample,57.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.01680000000074422
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_3000k_av1,sample,32.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03659999999776531
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_3000k_av1,sample,45.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.027499999999999858
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_800k_hevc_nvenc,sample,64.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0006999999992540751
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_800k_hevc_nvenc,sample,15.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.013900000002236013
