video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_1000k_av1,sample,70.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01689999999850933
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_1000k_h264_nvenc,sample,54.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.004400000000371662
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_800k_hevc_nvenc,sample,48.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.027499999999999858
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_1000k_av1,sample,32.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.006299999999813011
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_1000k_h264_nvenc,sample,41.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0072000000001857245
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_800k_hevc_nvenc,sample,42.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0035999999996274568
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00,sample,25.0,65.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4818999999994418
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_1300k_av1,sample,46.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.020099999999628082
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_3000k_av1,sample,28.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03209999999962676
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_500k_av1,sample,90.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.008700000001118369
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_1000k_h264_nvenc,sample,89.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.005499999999999616
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_2500k_h264_nvenc,sample,74.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.016000000000000014
