video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Farcry6_1_1080p_500k_av1,sample,50.0,74.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09548999999999985
amt_gaming_vqa_dataset/Farcry6_1_1080p_500k_av1,sample,87.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07988999999990831
amt_gaming_vqa_dataset/Farcry6_1_720p_3000k_av1,sample,57.0,82.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.12619000000018765
amt_gaming_vqa_dataset/Farcry6_1_720p_3000k_av1,sample,68.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08649000000000129
amt_gaming_vqa_dataset/Faastpenguin_1_720p_600k_hevcnvenc,sample,44.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.11119000000018708
amt_gaming_vqa_dataset/Faastpenguin_1_720p_600k_hevcnvenc,sample,8.0,45.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.28799000000000063
amt_gaming_vqa_dataset/DemonsSouls_1080p_10000k_h264nvenc,sample,65.0,80.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09659000000009321
amt_gaming_vqa_dataset/DemonsSouls_1080p_10000k_h264nvenc,sample,74.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0822899999998139
amt_gaming_vqa_dataset/DemonsSouls_1080p_6000k_hevcnvenc,sample,50.0,36.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.14569000000018661
amt_gaming_vqa_dataset/DemonsSouls_1080p_6000k_hevcnvenc,sample,83.0,43.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1351899999997208
amt_gaming_vqa_dataset/DemonsSouls_720p_3500k_hevcnvenc,sample,96.0,70.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.14628999999981396
amt_gaming_vqa_dataset/DemonsSouls_720p_3500k_hevcnvenc,sample,68.0,38.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.11489000000037386
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,12.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.16640000000037247
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,52.0,73.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.12320000000018538
