video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter,sample,72.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4562000000029798
amt_gaming_vqa_dataset/JakandDaxter_1080p_1500k_av1,sample,54.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08690000000595965
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,67.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09249999999999936
amt_gaming_vqa_dataset/JakandDaxter_1080p_500k_av1,sample,47.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08280000000446996
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_av1,sample,58.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1593999999985094
amt_gaming_vqa_dataset/JakandDaxter_2160p_1000k_av1,sample,83.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13349999999999973
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_av1,sample,84.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14879999999702065
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_av1,sample,52.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0600000000000005
amt_gaming_vqa_dataset/JakandDaxter_720p_1300k_av1,sample,10.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07660000000148948
amt_gaming_vqa_dataset/JakandDaxter_720p_3000k_av1,sample,44.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08300000000000018
amt_gaming_vqa_dataset/JakandDaxter_720p_500k_av1,sample,95.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07509999999403938
amt_gaming_vqa_dataset/JakandDaxter_1080p_10000k_h264nvenc,sample,70.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-4.31629999999702
amt_gaming_vqa_dataset/JakandDaxter_1080p_2300k_h264nvenc,sample,43.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12059999999403992
amt_gaming_vqa_dataset/JakandDaxter_1080p_5300k_h264nvenc,sample,7.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10829999999701911
amt_gaming_vqa_dataset/JakandDaxter_2160p_25000k_h264nvenc,sample,75.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15119999999553002
