video_name,total_ratings_count,valid_ratings_count,unset_count,final_rate1,final_rate2,final_rate3,final_rate4,final_rate5,final_rate6,final_rate7,final_rate8,final_rate9,final_rate10,final_rate11,final_rate12,final_rate13,final_rate14,final_rate15,final_rate16,final_rate17,final_rate18,final_rate19,final_rate20,final_rate21,final_rate22,final_rate23,final_rate24,final_rate25,final_rate26,final_rate27,final_rate28,final_rate29,final_rate30,final_rate31,final_rate32,final_rate33,final_rate34,final_rate35,final_rate36,final_rate37,final_rate38,final_rate39,final_rate40,final_rate41,final_rate42,final_rate43
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15,43,40,3,53,89,28,37,3,69,29,unset,0,50,10,44,20,19,30,69,29,48,77,45,21,31,45,45,69,28,36,46,32,33,85,38,64,36,41,unset,73,25,28,29,unset,90,92
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_1500k_av1,43,43,0,93,32,71,36,91,68,49,89,41,62,76,51,47,22,30,59,28,71,53,49,37,29,44,69,50,72,81,73,62,27,92,58,47,76,71,70,52,57,11,45,40,51,80
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_2300k_h264_nvenc,43,43,0,41,92,87,57,6,79,56,79,65,100,84,43,44,76,41,69,59,75,89,39,71,71,74,95,71,75,69,84,9,52,92,73,63,65,71,81,47,66,60,78,75,36,64
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_5300k_h264_nvenc,43,42,1,46,97,91,66,79,72,71,89,78,100,92,73,66,71,37,78,73,93,87,74,74,unset,73,46,71,84,81,91,44,100,45,75,69,76,73,66,91,69,83,81,71,100,71
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_2000k_hevc_nvenc,43,43,0,40,100,87,59,93,78,87,79,77,77,72,71,76,69,39,69,71,87,94,61,98,71,61,88,71,59,39,77,41,71,45,74,83,83,79,90,78,84,83,84,71,86,87
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_6000k_hevc_nvenc,43,43,0,56,69,87,79,93,76,69,89,85,93,89,71,78,80,39,78,71,75,100,58,78,71,66,69,51,78,76,88,45,92,91,78,89,64,72,79,78,77,90,87,70,83,74
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_800k_hevc_nvenc,43,43,0,39,77,81,48,87,88,41,56,23,59,23,50,63,34,51,31,28,64,58,29,31,29,43,85,71,73,36,45,0,90,57,53,54,68,73,55,36,52,20,76,65,38,46
amt_gaming_vqa_dataset/8Xg2xP7BHnY_SuperMarioRun_3-16_360p_800k_av1,43,43,0,50,78,51,76,93,77,29,95,65,78,79,71,71,55,34,64,71,100,95,75,39,71,75,93,50,76,87,93,79,100,90,79,77,97,60,94,87,92,70,77,69,84,93
amt_gaming_vqa_dataset/8Xg2xP7BHnY_SuperMarioRun_3-16_360p_800k_h264_nvenc,43,43,0,66,54,68,66,92,82,68,96,82,78,89,60,73,66,37,78,60,85,81,58,11,72,78,63,51,78,50,92,78,93,91,71,82,90,50,70,83,93,75,86,73,86,87
amt_gaming_vqa_dataset/8Xg2xP7BHnY_SuperMarioRun_3-16_360p_600k_hevc_nvenc,43,43,0,63,59,63,75,92,83,36,95,70,69,89,70,79,55,33,69,73,93,88,80,59,72,78,80,50,80,81,82,81,73,55,77,84,82,71,100,92,92,70,83,68,75,83
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00,43,38,5,70,77,9,58,unset,76,50,unset,73,60,72,50,43,69,45,50,unset,54,55,33,25,unset,54,34,70,63,71,76,unset,72,91,57,75,45,60,74,73,86,59,70,47,69,93
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_5000k_av1,43,43,0,72,87,77,45,3,72,50,88,60,47,44,52,73,82,40,78,29,75,71,40,50,29,47,50,50,55,73,84,53,67,93,55,64,28,72,73,82,65,32,49,73,61,74
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_5000k_av1,43,41,2,31,50,81,64,94,86,62,86,78,74,90,60,65,unset,44,78,71,83,100,53,81,71,66,85,50,81,75,71,unset,94,90,76,70,69,71,73,68,100,79,78,77,83,64
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_500k_av1,43,43,0,71,63,82,39,93,53,31,90,41,61,24,44,69,28,37,40,49,29,26,51,49,28,44,46,59,56,76,73,39,64,34,43,51,19,63,89,63,11,21,32,69,38,50
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_10000k_h264_nvenc,43,43,0,92,65,72,45,79,76,55,82,69,40,42,51,73,77,37,78,26,42,59,60,34,50,48,62,40,69,76,47,63,97,55,69,66,15,61,67,73,57,24,78,70,72,92
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_2300k_h264_nvenc,43,43,0,74,60,84,45,71,77,53,62,13,68,38,6,18,24,45,64,29,59,13,47,32,28,42,53,70,51,59,60,12,49,10,39,51,27,69,64,55,35,11,36,70,36,50
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_5300k_h264_nvenc,43,43,0,71,96,74,39,94,86,59,85,55,60,86,50,31,72,48,50,29,65,61,65,47,50,38,80,71,64,41,89,77,86,36,68,70,76,74,65,65,87,42,74,37,78,87
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_2000k_hevc_nvenc,43,43,0,93,64,74,48,94,82,49,97,35,78,17,50,76,57,45,59,0,60,60,62,45,29,48,47,51,59,75,73,63,37,79,56,58,65,71,54,58,65,33,74,78,46,78
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_6000k_hevc_nvenc,43,43,0,84,91,77,45,94,76,49,91,58,69,26,50,34,68,35,79,28,65,69,54,55,50,48,59,50,63,73,78,73,70,56,45,76,17,71,74,82,58,60,70,64,70,92
